No.,Name,Position X,Position Y,Position Z,
0,1P,263.803429,-195.005547,388.042397,
1,2P,251.116665,-192.767139,391.686203,
2,3P,251.400969,-193.847889,410.971361,
3,6P,245.927706,-191.385336,426.376247,
4,4P,251.076410,-194.501469,442.079399,
5,5P,274.650066,-196.512402,440.675163,
6,7P,267.510044,-194.589123,406.598763,
7,1,262.721909,-195.234122,387.959183,
8,2,250.649237,-192.642148,391.200280,
9,3,250.281270,-193.359367,409.652778,
10,5,272.243453,-197.113162,441.236821,
11,4,249.713379,-194.430429,441.215815,
12,6,244.751611,-190.400869,425.795200,
13,7,265.525350,-194.913872,405.725033,
